"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"Overgewicht_9";"Roker_11";"VoldoetAanAlcoholRichtlijn_12";"ErnstigZeerErnstigEenzaam_28"
"432306";"80200";"MW00000";"BU16801801";"2020JJ00";"    62.8";"     9.3";"    47.5";"     6.7"
"432310";"80200";"MW00000";"BU16801802";"2020JJ00";"    62.7";"    11.6";"    55.5";"     7.0"
"432314";"80200";"MW00000";"BU16801809";"2020JJ00";"    58.9";"     7.6";"    57.1";"     6.6"
"432318";"80200";"MW00000";"WK168019  ";"2020JJ00";"    55.0";"     7.1";"    55.8";"     8.0"
"432322";"80200";"MW00000";"BU16801900";"2020JJ00";"    55.3";"     6.9";"    56.8";"     8.2"
"432326";"80200";"MW00000";"BU16801901";"2020JJ00";"    49.1";"     6.8";"    53.2";"     7.8"
"432330";"80200";"MW00000";"BU16801902";"2020JJ00";"    53.2";"     8.0";"    51.3";"     6.3"
"432334";"80200";"MW00000";"BU16801903";"2020JJ00";"    53.9";"     7.5";"    54.7";"     6.0"
"432338";"80200";"MW00000";"BU16801908";"2020JJ00";"    55.1";"    10.8";"    41.9";"     5.1"
"432342";"80200";"MW00000";"BU16801909";"2020JJ00";"    52.1";"     7.9";"    46.5";"     6.6"
"432346";"80200";"MW00000";"WK168020  ";"2020JJ00";"    57.7";"     8.5";"    53.1";"     7.5"
"432350";"80200";"MW00000";"BU16802000";"2020JJ00";"    57.7";"     7.3";"    53.5";"     6.6"
"432354";"80200";"MW00000";"BU16802001";"2020JJ00";"    57.2";"    12.2";"    58.2";"     9.7"
"432358";"80200";"MW00000";"BU16802008";"2020JJ00";"       .";"       .";"       .";"       ."
"432362";"80200";"MW00000";"BU16802009";"2020JJ00";"    58.6";"     7.9";"    50.8";"     6.4"
"432366";"80200";"MW00000";"WK168021  ";"2020JJ00";"    55.1";"     7.7";"    52.6";"     6.4"
"432370";"80200";"MW00000";"BU16802100";"2020JJ00";"    56.6";"     7.8";"    51.5";"     6.1"
"432374";"80200";"MW00000";"BU16802101";"2020JJ00";"    56.0";"     8.6";"    51.7";"     8.5"
"432378";"80200";"MW00000";"BU16802109";"2020JJ00";"    51.2";"     7.2";"    55.9";"     6.0"
"432382";"80200";"MW00000";"GM0358    ";"2020JJ00";"    56.2";"     8.0";"    50.2";"     8.8"
"432386";"80200";"MW00000";"WK035800  ";"2020JJ00";"    55.0";"     7.9";"    51.3";"     9.2"
"432390";"80200";"MW00000";"BU03580000";"2020JJ00";"    52.5";"     6.9";"    55.1";"    10.2"
"432394";"80200";"MW00000";"BU03580001";"2020JJ00";"    55.1";"     8.3";"    50.4";"     9.5"
"432398";"80200";"MW00000";"BU03580004";"2020JJ00";"    57.4";"     7.7";"    51.2";"     8.2"
"432402";"80200";"MW00000";"BU03580005";"2020JJ00";"    53.6";"     7.9";"    45.2";"     6.9"
"432406";"80200";"MW00000";"WK035801  ";"2020JJ00";"    58.2";"     8.2";"    48.3";"     8.5"
"432410";"80200";"MW00000";"BU03580100";"2020JJ00";"    58.2";"     8.2";"    48.3";"     8.5"
"432414";"80200";"MW00000";"WK035802  ";"2020JJ00";"    56.4";"     8.0";"    50.1";"     8.3"
"432418";"80200";"MW00000";"BU03580200";"2020JJ00";"    51.3";"     6.8";"    47.5";"     6.7"
"432422";"80200";"MW00000";"BU03580201";"2020JJ00";"    55.1";"     7.2";"    46.2";"     7.1"
"432426";"80200";"MW00000";"BU03580205";"2020JJ00";"    57.9";"     8.7";"    51.7";"     9.1"
"432430";"80200";"MW00000";"BU03580206";"2020JJ00";"    55.7";"     5.8";"    47.3";"     6.6"
"432434";"80200";"MW00000";"GM0197    ";"2020JJ00";"    60.0";"     8.5";"    52.1";"     9.5"
"432438";"80200";"MW00000";"WK019701  ";"2020JJ00";"    56.7";"     7.7";"    49.3";"     7.0"
"432442";"80200";"MW00000";"BU01970101";"2020JJ00";"    51.9";"     5.6";"    43.9";"     6.4"
"432446";"80200";"MW00000";"BU01970102";"2020JJ00";"    59.7";"     7.1";"    44.5";"     6.1"
"432450";"80200";"MW00000";"BU01970103";"2020JJ00";"    54.8";"     6.6";"    50.5";"     7.7"
"432454";"80200";"MW00000";"BU01970104";"2020JJ00";"    58.2";"     7.8";"    52.6";"     7.7"
"432458";"80200";"MW00000";"BU01970105";"2020JJ00";"    52.7";"    12.6";"    54.4";"     5.7"
"432462";"80200";"MW00000";"BU01970106";"2020JJ00";"    55.5";"    10.2";"    47.3";"     5.6"
"432466";"80200";"MW00000";"BU01970107";"2020JJ00";"    55.2";"     8.3";"    48.2";"     6.4"
"432470";"80200";"MW00000";"BU01970108";"2020JJ00";"    57.5";"     7.5";"    50.9";"     7.5"
"432474";"80200";"MW00000";"BU01970109";"2020JJ00";"       .";"       .";"       .";"       ."
"432478";"80200";"MW00000";"BU01970110";"2020JJ00";"    55.9";"     8.1";"    47.9";"     7.1"
"432482";"80200";"MW00000";"BU01970111";"2020JJ00";"    57.0";"     6.8";"    50.3";"     6.9"
"432486";"80200";"MW00000";"BU01970112";"2020JJ00";"    54.2";"     8.6";"    40.4";"     7.5"
"432490";"80200";"MW00000";"WK019702  ";"2020JJ00";"    59.6";"     9.6";"    45.1";"     8.1"
"432494";"80200";"MW00000";"BU01970201";"2020JJ00";"    54.6";"     7.3";"    47.2";"     6.8"
"432498";"80200";"MW00000";"BU01970202";"2020JJ00";"    55.6";"     8.5";"    44.2";"     7.6"
"432502";"80200";"MW00000";"BU01970203";"2020JJ00";"    54.1";"     6.7";"    53.9";"    10.1"
"432506";"80200";"MW00000";"BU01970204";"2020JJ00";"    61.3";"    10.3";"    44.5";"     8.4"
"432510";"80200";"MW00000";"WK019703  ";"2020JJ00";"    59.9";"     8.3";"    52.6";"    10.1"
"432514";"80200";"MW00000";"BU01970301";"2020JJ00";"    60.8";"     8.9";"    50.2";"     9.5"
"432518";"80200";"MW00000";"BU01970302";"2020JJ00";"    61.2";"     9.0";"    52.7";"     9.9"
"432522";"80200";"MW00000";"BU01970303";"2020JJ00";"    57.8";"     8.4";"    45.6";"     8.6"
"432526";"80200";"MW00000";"BU01970304";"2020JJ00";"    58.7";"     7.4";"    54.5";"    10.1"
"432530";"80200";"MW00000";"BU01970305";"2020JJ00";"    55.2";"     7.8";"    43.0";"     6.7"
"432534";"80200";"MW00000";"BU01970306";"2020JJ00";"    61.7";"     9.7";"    50.6";"    10.2"
"432538";"80200";"MW00000";"BU01970307";"2020JJ00";"    60.0";"     7.9";"    56.0";"    11.3"
"432542";"80200";"MW00000";"WK019704  ";"2020JJ00";"    61.6";"     9.0";"    53.8";"    10.0"
"432546";"80200";"MW00000";"BU01970400";"2020JJ00";"    63.0";"     8.9";"    58.2";"    11.3"
"432550";"80200";"MW00000";"BU01970401";"2020JJ00";"    60.7";"     9.1";"    54.2";"    10.1"
"432554";"80200";"MW00000";"BU01970402";"2020JJ00";"    62.9";"    10.0";"    48.5";"     9.1"
"432558";"80200";"MW00000";"BU01970403";"2020JJ00";"    57.7";"     8.3";"    50.3";"     6.7"
"432562";"80200";"MW00000";"BU01970408";"2020JJ00";"    56.1";"     6.3";"    46.3";"     6.1"
"432566";"80200";"MW00000";"BU01970409";"2020JJ00";"    56.7";"     7.6";"    50.8";"     7.9"
"432570";"80200";"MW00000";"GM0059    ";"2020JJ00";"    61.9";"     9.9";"    57.1";"     8.1"
"432574";"80200";"MW00000";"WK005900  ";"2020JJ00";"    60.9";"     9.9";"    57.6";"     7.8"
"432578";"80200";"MW00000";"BU00590000";"2020JJ00";"    59.2";"     8.7";"    59.4";"     8.1"
"432582";"80200";"MW00000";"BU00590001";"2020JJ00";"    65.7";"    11.1";"    57.7";"     7.7"
"432586";"80200";"MW00000";"BU00590002";"2020JJ00";"    63.9";"    11.5";"    57.1";"     7.7"
"432590";"80200";"MW00000";"BU00590003";"2020JJ00";"    63.4";"    11.7";"    56.2";"     7.7"
"432594";"80200";"MW00000";"BU00590004";"2020JJ00";"    62.1";"    10.2";"    57.3";"     8.5"
"432598";"80200";"MW00000";"BU00590005";"2020JJ00";"    58.3";"     9.4";"    53.8";"     6.5"
"432602";"80200";"MW00000";"BU00590006";"2020JJ00";"    60.4";"     7.5";"    46.9";"     3.9"
"432606";"80200";"MW00000";"BU00590007";"2020JJ00";"    58.6";"    10.2";"    50.2";"     5.7"
"432610";"80200";"MW00000";"BU00590008";"2020JJ00";"    60.3";"    10.7";"    47.5";"     6.5"
"432614";"80200";"MW00000";"BU00590009";"2020JJ00";"    53.2";"    15.2";"    56.4";"     7.2"
"432618";"80200";"MW00000";"WK005901  ";"2020JJ00";"    62.1";"     9.7";"    53.2";"     7.4"
"432622";"80200";"MW00000";"BU00590100";"2020JJ00";"    62.5";"    10.7";"    50.6";"     7.3"
"432626";"80200";"MW00000";"BU00590102";"2020JJ00";"    64.4";"     9.5";"    56.4";"     7.4"
