"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"SoortRegio_2";"Codering_3";"EenOfMeerLangdurigeAandoeningen_16";"BeperktVanwegeGezondheid_17";"ErnstigBeperktVanwegeGezondheid_18";"LangdurigeZiekteEnBeperkt_19"
"312272";"80200";"MW00000";"BU16801409";"2020JJ00";"Buurt     ";"BU16801409          ";"    43.8";"    44.3";"     7.5";"    42.2"
"312275";"80200";"MW00000";"WK168015  ";"2020JJ00";"Wijk      ";"WK168015            ";"    45.7";"    47.6";"     9.6";"    45.5"
"312278";"80200";"MW00000";"BU16801500";"2020JJ00";"Buurt     ";"BU16801500          ";"    45.7";"    47.7";"     9.6";"    45.5"
"312281";"80200";"MW00000";"BU16801501";"2020JJ00";"Buurt     ";"BU16801501          ";"       .";"       .";"       .";"       ."
"312284";"80200";"MW00000";"BU16801509";"2020JJ00";"Buurt     ";"BU16801509          ";"       .";"       .";"       .";"       ."
"312287";"80200";"MW00000";"WK168016  ";"2020JJ00";"Wijk      ";"WK168016            ";"    44.3";"    44.3";"     7.1";"    41.6"
"312290";"80200";"MW00000";"BU16801600";"2020JJ00";"Buurt     ";"BU16801600          ";"    44.8";"    44.8";"     7.2";"    42.1"
"312293";"80200";"MW00000";"BU16801601";"2020JJ00";"Buurt     ";"BU16801601          ";"    37.7";"    36.8";"     4.8";"    35.3"
"312296";"80200";"MW00000";"BU16801609";"2020JJ00";"Buurt     ";"BU16801609          ";"       .";"       .";"       .";"       ."
"312299";"80200";"MW00000";"WK168017  ";"2020JJ00";"Wijk      ";"WK168017            ";"    45.2";"    47.0";"     7.6";"    45.1"
"312302";"80200";"MW00000";"BU16801700";"2020JJ00";"Buurt     ";"BU16801700          ";"    45.3";"    47.2";"     7.7";"    45.3"
"312305";"80200";"MW00000";"BU16801709";"2020JJ00";"Buurt     ";"BU16801709          ";"    40.9";"    41.8";"     5.1";"    39.9"
"312308";"80200";"MW00000";"WK168018  ";"2020JJ00";"Wijk      ";"WK168018            ";"    44.3";"    44.9";"     7.2";"    42.3"
"312311";"80200";"MW00000";"BU16801800";"2020JJ00";"Buurt     ";"BU16801800          ";"    45.4";"    46.6";"     8.2";"    44.3"
"312314";"80200";"MW00000";"BU16801801";"2020JJ00";"Buurt     ";"BU16801801          ";"    39.8";"    39.5";"     4.5";"    37.9"
"312317";"80200";"MW00000";"BU16801802";"2020JJ00";"Buurt     ";"BU16801802          ";"    44.5";"    44.4";"     7.0";"    42.0"
"312320";"80200";"MW00000";"BU16801809";"2020JJ00";"Buurt     ";"BU16801809          ";"    43.1";"    43.5";"     5.9";"    39.4"
"312323";"80200";"MW00000";"WK168019  ";"2020JJ00";"Wijk      ";"WK168019            ";"    44.3";"    46.0";"     7.6";"    43.5"
"312326";"80200";"MW00000";"BU16801900";"2020JJ00";"Buurt     ";"BU16801900          ";"    44.6";"    46.7";"     7.9";"    44.2"
"312329";"80200";"MW00000";"BU16801901";"2020JJ00";"Buurt     ";"BU16801901          ";"    43.3";"    42.9";"     5.9";"    40.5"
"312332";"80200";"MW00000";"BU16801902";"2020JJ00";"Buurt     ";"BU16801902          ";"    42.8";"    42.9";"     5.3";"    40.2"
"312335";"80200";"MW00000";"BU16801903";"2020JJ00";"Buurt     ";"BU16801903          ";"    39.8";"    40.7";"     6.1";"    38.0"
"312338";"80200";"MW00000";"BU16801908";"2020JJ00";"Buurt     ";"BU16801908          ";"    42.7";"    37.8";"     3.9";"    35.8"
"312341";"80200";"MW00000";"BU16801909";"2020JJ00";"Buurt     ";"BU16801909          ";"    39.6";"    39.3";"     4.6";"    36.9"
"312344";"80200";"MW00000";"WK168020  ";"2020JJ00";"Wijk      ";"WK168020            ";"    42.9";"    45.3";"     6.6";"    42.8"
"312347";"80200";"MW00000";"BU16802000";"2020JJ00";"Buurt     ";"BU16802000          ";"    41.4";"    44.3";"     6.5";"    41.6"
"312350";"80200";"MW00000";"BU16802001";"2020JJ00";"Buurt     ";"BU16802001          ";"    46.8";"    49.9";"     5.7";"    47.7"
